external_id,timestamp,latitude,longitude,prev_latitude,prev_longitude,length,width,height,speed,direction,wind_speed,wind_direction,current_speed,current_direction,sea_ice_concentration,next_latitude,next_longitude
A-23a,2026-08-01T00:00:00+00:00,-69.4485,-49.3519,-69.4173,-49.4367,5214.7,2767.8,264.5,0.48,136.4,13.6,147.4,0.43,121.4,76.7,-69.4833,-49.2577
A-23a,2026-08-01T06:00:00+00:00,-69.4833,-49.2577,-69.431,-48.959,5214.7,2767.8,264.5,1.3,243.4,26.6,206.1,1.3,228.4,76.3,-69.5414,-49.5895
A-23a,2026-08-01T12:00:00+00:00,-69.5414,-49.5895,-69.4984,-49.8639,5214.7,2767.8,264.5,1.17,114.2,30.2,103.8,0.86,99.2,30.9,-69.5892,-49.2846
A-23a,2026-08-01T18:00:00+00:00,-69.5892,-49.2846,-69.6652,-49.1862,5214.7,2767.8,264.5,0.93,335.7,8.5,346.1,1.04,320.7,70.2,-69.5048,-49.3939
A-23a,2026-08-02T00:00:00+00:00,-69.5048,-49.3939,-69.5645,-49.2153,5214.7,2767.8,264.5,0.96,313.7,16.1,281.9,0.95,298.7,56.0,-69.4384,-49.5923
A-23a,2026-08-02T06:00:00+00:00,-69.4384,-49.5923,-69.4808,-49.8065,5214.7,2767.8,264.5,0.96,60.6,19.1,64.4,0.95,45.6,71.1,-69.3914,-49.3543
A-23a,2026-08-02T12:00:00+00:00,-69.3914,-49.3543,-69.3852,-49.5316,5214.7,2767.8,264.5,0.7,95.6,17.8,61.8,0.58,80.6,52.6,-69.3982,-49.1574
A-23a,2026-08-02T18:00:00+00:00,-69.3982,-49.1574,-69.3415,-49.2329,5214.7,2767.8,264.5,0.7,154.9,34.8,141.8,0.43,139.9,75.0,-69.4613,-49.0735
A-23a,2026-08-03T00:00:00+00:00,-69.4613,-49.0735,-69.4388,-48.8852,5214.7,2767.8,264.5,0.77,251.2,15.3,219.2,0.71,236.2,50.1,-69.4863,-49.2828
A-23a,2026-08-03T06:00:00+00:00,-69.4863,-49.2828,-69.4494,-48.9871,5214.7,2767.8,264.5,1.22,250.4,21.6,255.7,1.2,235.4,59.4,-69.5272,-49.6112
A-23a,2026-08-03T12:00:00+00:00,-69.5272,-49.6112,-69.5659,-49.6036,5214.7,2767.8,264.5,0.43,356.1,9.3,353.8,0.39,341.1,54.4,-69.4843,-49.6197
