latitude,longitude,month,day_of_year,prev_concentration,sst,air_temperature,wind_speed,wind_direction,current_speed,wave_height,target_concentration
-66.49,-170.996,5,126,36.1,-0.06,-10.1,38.0,31.3,0.82,0.45,36.2
-68.904,-170.447,4,333,46.7,-0.58,-14.4,15.3,312.9,1.39,0.79,47.5
-72.998,-102.487,6,53,62.2,-1.35,-18.6,27.3,290.6,1.34,1.53,64.3
-71.186,18.735,11,317,65.0,-0.94,-20.5,7.6,238.1,1.41,2.49,67.0
-62.403,-43.155,8,326,48.7,0.16,-8.7,29.8,252.7,1.26,0.51,49.4
-68.385,-91.868,8,195,57.3,-0.21,-14.4,13.1,116.7,1.41,0.41,58.8
-63.509,-35.581,2,109,26.0,0.25,-3.9,12.9,179.7,1.6,2.91,25.6
-75.487,88.196,9,135,88.7,-1.49,-24.9,18.4,359.0,0.34,0.77,90.8
-62.5,-124.977,3,349,14.7,0.09,-5.4,41.9,190.5,1.75,4.22,14.1
-65.027,65.416,9,137,54.3,-0.09,-12.6,10.9,1.2,1.33,2.24,55.9
-64.285,2.765,2,321,16.3,0.19,-5.8,10.7,274.5,1.02,3.8,16.7
-77.99,-63.304,1,58,76.4,-1.57,-23.3,16.4,20.9,1.59,1.9,77.2
-69.252,-155.083,9,65,55.5,-0.6,-16.5,14.8,314.1,0.82,0.84,56.6
-64.861,-107.586,5,205,46.1,0.11,-9.7,24.2,43.6,0.48,1.35,46.8
-73.858,-100.722,2,363,54.8,-1.39,-16.8,36.8,25.5,0.5,2.09,55.5
-75.618,156.785,10,296,78.5,-1.3,-22.6,12.0,34.9,0.83,0.91,80.0
-64.877,62.411,11,51,27.5,0.16,-6.9,9.0,69.0,1.01,0.93,27.3
-69.673,134.815,2,227,44.4,-0.43,-17.4,29.1,194.6,0.13,0.61,46.0
-73.745,-33.691,8,110,87.1,-0.97,-26.0,5.1,140.6,1.68,1.21,88.4
-65.461,82.982,9,339,54.7,-0.27,-13.2,40.8,208.5,1.02,2.31,54.7
-67.485,1.026,9,81,48.2,-0.33,-11.6,7.5,24.5,1.57,1.51,49.7
